county_fips,acs_name,population,poverty_rate,uninsured_rate,renter_share,age65plus_share,no_vehicle_share,no_internet_share,acs_year_used
01001,"Autauga County, Alabama",59947,11.3,7.3,77.1,16.3,4.132303530130471,5.5286468560457305,2024
01003,"Baldwin County, Alabama",246989,10.1,8.3,77.6,21.7,2.6822488688700874,7.557773855174793,2024
01005,"Barbour County, Alabama",24643,21.4,10.3,68.2,20.1,10.495179666958808,18.91980718667835,2024
01007,"Bibb County, Alabama",22130,22.5,6.9,79.2,17.4,5.425752855659398,13.875908618899274,2024
01009,"Blount County, Alabama",59518,12.9,10.3,81.0,18.6,4.044183949504058,12.412082957619477,2024
01011,"Bullock County, Alabama",10058,33.3,11.8,66.6,18.6,9.951193058568329,27.792841648590024,2024
01013,"Butler County, Alabama",18630,22.4,12.3,65.8,22.0,5.936553902856391,12.044227984730815,2024
01015,"Calhoun County, Alabama",116090,17.9,10.2,70.3,18.2,6.386759968899256,10.287681883816505,2024
01017,"Chambers County, Alabama",34192,15.7,11.0,71.8,20.3,7.317254726812565,15.58731576596695,2024
01019,"Cherokee County, Alabama",25443,14.8,7.2,81.1,24.4,2.77668759811617,14.472135007849293,2024
01021,"Chilton County, Alabama",45992,14.0,11.1,76.9,17.0,2.634965034965035,14.657342657342657,2024
01023,"Choctaw County, Alabama",12380,16.5,8.6,82.4,24.4,8.753568030447195,20.70409134157945,2024
01025,"Clarke County, Alabama",22543,20.1,7.5,70.8,21.1,11.622937195773478,22.391072064585067,2024
01027,"Clay County, Alabama",14192,17.6,7.2,79.4,20.6,5.824742268041237,17.525773195876287,2024
01029,"Cleburne County, Alabama",15426,13.7,8.8,78.5,20.1,5.635451505016722,21.53846153846154,2024
01031,"Coffee County, Alabama",54920,16.7,10.4,72.3,17.2,4.017346549752192,9.89325200152497,2024
01033,"Colbert County, Alabama",58022,17.4,7.9,71.3,20.4,4.57182831982223,13.357475001028766,2024
01035,"Conecuh County, Alabama",11275,27.8,8.0,74.3,24.9,5.750509395517319,24.858501245189043,2024
01037,"Coosa County, Alabama",10300,13.1,7.6,81.6,25.3,6.020823902218198,18.153010411951108,2024
01039,"Covington County, Alabama",37628,19.2,9.4,76.3,22.2,6.249146291490234,13.502253790465785,2024
01041,"Crenshaw County, Alabama",13122,17.9,8.1,73.2,20.2,7.318937511943435,25.530288553411047,2024
01043,"Cullman County, Alabama",90566,15.3,10.9,76.6,19.0,3.177073018926642,11.186239284804934,2024
01045,"Dale County, Alabama",49599,18.7,10.1,61.9,18.1,5.74846656866224,11.106605160440006,2024
01047,"Dallas County, Alabama",36858,31.0,8.2,63.8,20.4,14.14686147864802,16.956167304195148,2024
01049,"DeKalb County, Alabama",72269,22.4,15.5,78.3,17.6,4.167144112142393,11.240976280508766,2024
01051,"Elmore County, Alabama",89526,10.3,7.7,77.0,16.5,3.387509130752374,6.412831750669588,2024
01053,"Escambia County, Alabama",36629,20.0,9.2,70.9,19.0,5.730793254216115,19.86258588382261,2024
01055,"Etowah County, Alabama",103105,16.9,11.4,73.9,19.7,4.392174773540382,9.954073735759051,2024
01057,"Fayette County, Alabama",16053,21.8,7.7,78.4,21.9,7.577937649880095,16.019184652278177,2024
01059,"Franklin County, Alabama",31966,19.1,12.7,72.4,16.7,7.746361050694328,24.60264346662205,2024
01061,"Geneva County, Alabama",26887,19.2,12.5,78.1,20.3,5.982905982905983,15.290692213769136,2024
