county_fips,county_name,state
21221,Trigg,KY
21231,Wayne,KY
21229,Washington,KY
42099,Perry,PA
42121,Venango,PA
40061,Haskell,OK
17097,Lake,IL
20005,Atchison,KS
02020,Anchorage,AK
40133,Seminole,OK
54057,Mineral,WV
27013,Blue Earth,MN
31019,Buffalo,NE
21083,Graves,KY
51003,Albemarle,VA
48211,Hemphill,TX
29205,Shelby,MO
29033,Carroll,MO
47045,Dyer,TN
46099,Minnehaha,SD
19037,Chickasaw,IA
36099,Seneca,NY
27043,Faribault,MN
31125,Nance,NE
39099,Mahoning,OH
28017,Chickasaw,MS
17065,Hamilton,IL
48175,Goliad,TX
21059,Daviess,KY
28133,Sunflower,MS
12087,Monroe,FL
48441,Taylor,TX
27107,Norman,MN
47067,Hancock,TN
05053,Grant,AR
51143,Pittsylvania,VA
35049,Santa Fe,NM
23023,Sagadahoc,ME
22107,Tensas,LA
55011,Buffalo,WI
18123,Perry,IN
45047,Greenwood,SC
04009,Graham,AZ
45037,Edgefield,SC
54031,Hardy,WV
39129,Pickaway,OH
39173,Wood,OH
28103,Noxubee,MS
38079,Rolette,ND
30067,Park,MT
49001,Beaver,UT
39055,Geauga,OH
33003,Carroll,NH
38007,Billings,ND
42035,Clinton,PA
13183,Long,GA
29149,Oregon,MO
12053,Hernando,FL
31147,Richardson,NE
51113,Madison,VA
26009,Antrim,MI
19111,Lee,IA
20039,Decatur,KS
51570,Colonial Heights,VA
12023,Columbia,FL
17063,Grundy,IL
21073,Franklin,KY
08009,Baca,CO
37015,Bertie,NC
20007,Barber,KS
36021,Columbia,NY
26165,Wexford,MI
49019,Grand,UT
48141,El Paso,TX
13263,Talbot,GA
36041,Hamilton,NY
47139,Polk,TN
46129,Walworth,SD
47101,Lewis,TN
21177,Muhlenberg,KY
20145,Pawnee,KS
48039,Brazoria,TX
37181,Vance,NC
13161,Jeff Davis,GA
48069,Castro,TX
06095,Solano,CA
21147,McCreary,KY
20103,Leavenworth,KS
01001,Autauga,AL
23001,Androscoggin,ME
45027,Clarendon,SC
18157,Tippecanoe,IN
16005,Bannock,ID
17139,Moultrie,IL
35039,Rio Arriba,NM
26125,Oakland,MI
37129,New Hanover,NC
37117,Martin,NC
02188,Northwest Arctic,AK
29129,Mercer,MO
42069,Lackawanna,PA
29139,Montgomery,MO
31061,Franklin,NE
13187,Lumpkin,GA
12063,Jackson,FL
42009,Bedford,PA
45091,York,SC
36051,Livingston,NY
24013,Carroll,MD
39065,Hardin,OH
32003,Clark,NV
13039,Camden,GA
20175,Seward,KS
05117,Prairie,AR
24035,Queen Anne's,MD
13273,Terrell,GA
22087,St. Bernard,LA
42127,Wayne,PA
47165,Sumner,TN
16059,Lemhi,ID
53045,Mason,WA
18127,Porter,IN
50003,Bennington,VT
55049,Iowa,WI
37065,Edgecombe,NC
21021,Boyle,KY
41001,Baker,OR
39145,Scioto,OH
51720,Norton,VA
29225,Webster,MO
28007,Attala,MS
05007,Benton,AR
39119,Muskingum,OH
17173,Shelby,IL
