county_fips,county_name,state,lat,lon,population,risk_score,expected_annual_loss_score,social_vulnerability_score,community_resilience_score,hazard_specific_mean_score,max_aqi,p90_aqi,median_aqi,pm25_mean,ozone_mean,unhealthy_days,usg_days,very_unhealthy_days,hazardous_days,asthma_prev,copd_prev,chd_prev,poor_physical_health_prev,poor_mental_health_prev,depression_prev,poverty_rate,uninsured_rate,uninsured_places_prev,renter_share,age65plus_share,no_vehicle_share,no_internet_share,climate_hazard_burden,air_pollution_exposure,health_vulnerability,adaptive_capacity_deficit,ehagi,ehagi_rank,priority_group,days_with_aqi,acs_name,acs_year_used,county_name_shape,state_fips,state_county_centroids,risk_score_pct,expected_annual_loss_score_pct,social_vulnerability_score_pct,community_resilience_score_pct,hazard_specific_mean_score_pct,max_aqi_pct,p90_aqi_pct,median_aqi_pct,unhealthy_days_pct,usg_days_pct,very_unhealthy_days_pct,hazardous_days_pct,pm25_mean_pct,ozone_mean_pct,asthma_prev_pct,copd_prev_pct,chd_prev_pct,poor_physical_health_prev_pct,poor_mental_health_prev_pct,depression_prev_pct,population_pct,poverty_rate_pct,uninsured_rate_pct,uninsured_places_prev_pct,renter_share_pct,age65plus_share_pct,no_vehicle_share_pct,no_internet_share_pct,community_resilience_deficit_pct
37155,Robeson,NC,34.6269,-79.1437,116902.0,91.0941,85.5817,98.3461,14.0903,2031683.7225,,,,,,,,,,13.3,11.4,9.3,18.0,20.1,22.9,27.2,14.2,16.2,65.8,16.0,7.9404,19.1519,89.3024,,85.3885,74.002,83.9176,1.0,High hazard burden,,"Robeson County, North Carolina",2024.0,Robeson,37,NC,91.0941,85.687,98.3302,14.0903,91.126,,,,,,,,,,99.2219,91.7794,84.7936,91.4242,93.3863,51.7253,82.888,96.7557,86.9911,89.4114,16.8098,16.6508,82.3473,92.8117,85.9097
47079,Henry,TN,36.3109,-88.3129,32412.0,84.7328,78.8366,82.2201,31.4885,1606242.2145,,,,,,,,,,11.2,12.1,9.7,18.3,19.8,30.4,18.3,11.3,12.3,73.5,24.0,5.6423,13.0464,84.2663,,91.1028,69.6949,82.6594,2.0,High hazard burden,,"Henry County, Tennessee",2024.0,Henry,47,TN,84.7328,79.0076,82.1883,31.4885,89.0585,,,,,,,,,,77.4357,95.5514,90.6461,93.3356,91.475,98.1732,56.2977,79.3098,74.7296,71.7355,43.8295,80.6139,54.0394,72.2964,68.5115
29023,Butler,MO,36.7133,-90.3904,42020.0,83.1107,82.2092,49.2366,28.9758,1149430.9534,,,,,,,,,,11.6,11.8,9.0,18.5,20.2,27.4,20.5,13.0,11.3,64.6,19.5,8.3404,13.2638,83.3015,,90.4347,63.4167,80.3766,3.0,High hazard burden,,"Butler County, Missouri",2024.0,Butler,29,MO,83.1107,82.3155,49.1889,28.9758,84.4784,,,,,,,,,,88.5149,94.0798,79.5839,94.3674,93.9953,92.067,63.4542,86.2913,83.1425,63.7686,14.0903,45.07,84.6692,73.5051,71.0242
45033,Dillon,SC,34.4294,-79.3924,27862.0,84.3193,76.6708,87.5954,25.827,1233521.9114,,,,,,,,,,11.4,11.8,9.1,18.5,20.2,22.8,27.7,12.5,16.6,64.7,18.0,9.7793,24.1389,82.3155,,83.0204,73.7539,80.2674,4.0,High hazard burden,,"Dillon County, South Carolina",2024.0,Dillon,45,SC,84.3193,76.9084,87.5795,25.827,85.7188,,,,,,,,,,83.7957,94.0798,81.4783,94.3674,93.9953,50.406,52.131,96.9466,80.8842,90.3755,14.3766,30.7411,91.1578,97.5509,74.173
54047,McDowell,WV,37.375,-81.6358,17943.0,76.6539,61.5408,96.2786,4.1349,316964.9998,,,,,,,,,,13.2,16.5,11.8,22.2,23.8,31.1,34.2,8.8,13.9,77.3,21.9,10.685,12.8499,63.7087,,99.532,80.9195,80.2393,5.0,Public-health preparedness priority,,"McDowell County, West Virginia",2024.0,McDowell,54,WV,76.6539,62.2774,96.2786,4.1349,52.1947,,,,,,,,,,98.9682,99.9662,99.2558,99.8478,99.8647,99.2896,38.6132,99.3639,57.9676,80.8356,65.4262,67.5891,94.0522,70.8969,95.8651
29155,Pemiscot,MO,36.2138,-89.8184,14958.0,77.958,66.8626,92.0483,28.117,1025181.9659,,,,,,,,,,12.2,13.3,9.7,19.6,20.5,25.7,29.6,12.6,13.1,55.6,18.2,10.5321,12.8849,76.1238,,93.22,69.067,79.9407,6.0,High hazard burden,,"Pemiscot County, Missouri",2024.0,Pemiscot,29,MO,77.958,67.5254,92.0324,28.117,82.888,,,,,,,,,,95.5514,98.5961,90.6461,98.224,95.4499,80.8525,33.3651,97.7894,81.4408,76.9621,4.0553,32.5859,93.6705,71.1832,71.883
22001,Acadia,LA,30.2651,-92.4015,56955.0,88.6132,83.9728,86.7366,30.3435,1353660.5967,,,,,,,,,,10.8,11.2,8.7,18.2,21.6,30.6,25.0,6.4,10.4,67.0,16.5,10.4892,16.5528,86.5776,,85.7775,62.5919,79.9147,7.0,High hazard burden,,"Acadia Parish, Louisiana",2024.0,Acadia,22,LA,88.6132,84.0967,86.7207,30.3435,87.0229,,,,,,,,,,60.2842,90.3248,74.002,92.7605,98.6806,98.613,70.8333,95.1177,35.7824,55.5819,20.2449,19.3384,93.5115,87.3728,69.6565
22097,St. Landry,LA,30.5749,-91.9829,81670.0,88.1997,83.6634,90.5216,77.4491,1229341.3691,,,,,,,,,,11.2,11.2,9.0,18.4,21.3,26.6,26.8,7.2,10.7,70.1,16.9,9.9276,19.271,85.8779,,87.796,60.7835,79.8254,8.0,High hazard burden,,"St. Landry Parish, Louisiana",2024.0,St. Landry,22,LA,88.1997,83.7786,90.4898,77.4491,85.6552,,,,,,,,,,77.4357,90.3248,79.5839,93.8769,98.1055,87.4493,77.4809,96.4854,44.0363,57.8654,28.8327,22.1215,91.5394,93.1298,22.5509
40079,Le Flore,OK,34.9565,-94.6874,49053.0,82.6972,74.1955,85.4644,4.8982,695279.0682,,,,,,,,,,12.3,10.8,9.1,17.3,19.8,25.9,19.4,17.4,12.7,72.8,17.9,6.2622,16.3472,77.5869,,87.2914,72.61,79.4946,9.0,High hazard burden,,"Le Flore County, Oklahoma",2024.0,Le Flore,40,OK,82.6972,74.4911,85.4167,4.8982,75.5725,,,,,,,,,,96.2618,86.7896,81.4783,85.1488,91.475,82.5947,67.8753,83.1425,93.6228,74.3234,40.8556,29.9141,64.1858,86.9275,95.1018
22117,Washington,LA,30.8349,-90.0433,45120.0,85.528,76.3614,97.201,34.9237,1158325.7786,,,,,,,,,,10.8,11.3,9.3,18.0,20.4,27.2,24.3,6.2,10.1,69.3,19.3,11.5094,22.522,82.2837,,85.6027,67.1576,79.3564,10.0,High hazard burden,,"Washington Parish, Louisiana",2024.0,Washington,22,LA,85.528,76.5903,97.1692,34.9237,84.7328,,,,,,,,,,60.2842,91.069,84.7936,91.4242,94.9256,91.1198,65.5852,94.1476,33.7309,52.3512,26.3041,43.4001,95.5153,96.7239,65.0763
